[ 2025-12-14 06:42:45 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:45 | node_34 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:45 | node_43 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 187.75323486328125, 'test_acc\n': 0.4950000047683716, 'test_precision\n': 0.6709241271018982, 'test_recall\n': 0.46825990080833435, 'test_f1\n': 0.449759304523468}
[ 2025-12-14 06:42:45 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:45 | node_43 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🧩 Model added (1/1) from ['node_5']
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:45 | node_22 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 79.36109161376953, 'test_acc\n': 0.6949999928474426, 'test_precision\n': 0.7757486701011658, 'test_recall\n': 0.7076666951179504, 'test_f1\n': 0.6592628359794617}
[ 2025-12-14 06:42:45 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:45 | node_22 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🎉 Round 78 of 100 finished.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🚂 Train set of 1 nodes: ['node_5']
[ 2025-12-14 06:42:45 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:45 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 184.59422302246094, 'test_acc\n': 0.6299999952316284, 'test_precision\n': 0.661368191242218, 'test_recall\n': 0.6259797811508179, 'test_f1\n': 0.6013299822807312}
[ 2025-12-14 06:42:45 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:45 | node_14 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:45 | node_35 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:45 | node_35 | INFO ] 🧩 Model added (1/1) from ['node_35']
[ 2025-12-14 06:42:45 | node_35 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_35 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:45 | node_17 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:45 | node_17 | INFO ] 🧩 Model added (1/1) from ['node_17']
[ 2025-12-14 06:42:45 | node_17 | INFO ] 🤫 Gossip finished.
